Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (30 to 41),35 (30 to 41)
29 (24 to 35),29 (24 to 35)
49 (44 to 55),49 (44 to 55)
99 (98 to 100),99 (98 to 100)
97 (94 to 99),97 (94 to 99)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 6),3 (1 to 6)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
25 (15 to 37),25 (15 to 37)
92 (85 to 98),92 (85 to 98)
82 (72 to 91),82 (72 to 91)
76 (65 to 87),76 (65 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
75 (63 to 85),75 (63 to 85)
8 (2 to 15),8 (2 to 15)
18 (9 to 28),18 (9 to 28)
24 (13 to 35),24 (13 to 35)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (64 to 75),70 (64 to 75)
74 (69 to 79),74 (69 to 79)
2 (1 to 3),2 (1 to 3)
22 (17 to 26),22 (17 to 26)
14 (10 to 18),14 (10 to 18)
9 (6 to 12),9 (6 to 12)
20 (13 to 27),20 (13 to 27)
14 (7 to 20),14 (7 to 20)
34 (27 to 40),34 (27 to 40)
-6 (-9 to -4),-6 (-9 to -4)
14 (7 to 20),14 (7 to 20)
20 (14 to 26),20 (14 to 26)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-7 to -3),-5 (-7 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
2 (0 to 3),2 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1251 (-1406 to -1112),-1252 (-1402 to -1105)
-827 (-876 to -787),-826 (-877 to -786)
-890 (-963 to -825),-889 (-962 to -827)
-928 (-1015 to -858),-927 (-1012 to -854)
423 (279 to 570),425 (279 to 580)
361 (227 to 499),362 (224 to 500)
322 (194 to 463),324 (185 to 464)
-63 (-122 to -14),-63 (-124 to -14)
-101 (-183 to -26),-101 (-180 to -21)
-38 (-122 to 41),-38 (-120 to 41)
-510 (-574 to -453),-512 (-573 to -452)
-337 (-357 to -321),-338 (-358 to -321)
-363 (-393 to -337),-364 (-393 to -338)
-379 (-414 to -350),-379 (-414 to -349)
173 (114 to 232),174 (114 to 237)
147 (92 to 204),148 (92 to 205)
132 (79 to 189),133 (76 to 190)
-26 (-50 to -6),-26 (-51 to -6)
-41 (-75 to -10),-41 (-74 to -8)
-16 (-50 to 17),-16 (-49 to 17)
32 (29 to 36),37 (33 to 42)
108 (105 to 112),125 (121 to 130)
82 (76 to 89),95 (87 to 102)
85 (79 to 92),98 (91 to 105)
76 (71 to 81),88 (82 to 94)
50 (43 to 57),57 (49 to 66)
53 (46 to 60),60 (52 to 69)
-26 (-32 to -20),-31 (-38 to -24)
-23 (-30 to -16),-28 (-35 to -20)
3 (-5 to 11),3 (-6 to 12)
17.98,20.68
13.84,15.81
16.47,18.6
41.71,48.48
22.8,27.33
-8.28,-8.04
44.07,50.57
33.94,38.67
40.37,45.49
102.26,118.58
55.89,66.84
-20.3,-19.68
