Uganda,Zambia
15 (11 to 20),15 (11 to 20)
35 (29 to 41),35 (29 to 41)
30 (24 to 36),30 (24 to 36)
58 (53 to 64),58 (53 to 64)
99 (98 to 100),99 (98 to 100)
97 (94 to 98),97 (94 to 98)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (2 to 6),3 (2 to 6)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 28),22 (17 to 28)
17 (12 to 22),17 (12 to 22)
50 (44 to 56),50 (44 to 56)
28 (16 to 40),28 (16 to 40)
93 (85 to 98),93 (85 to 98)
86 (76 to 95),86 (76 to 95)
92 (84 to 98),92 (84 to 98)
87 (83 to 91),87 (83 to 91)
78 (72 to 83),78 (72 to 83)
83 (78 to 88),83 (78 to 88)
50 (44 to 56),50 (44 to 56)
72 (60 to 84),72 (60 to 84)
7 (2 to 15),7 (2 to 15)
14 (5 to 24),14 (5 to 24)
8 (2 to 16),8 (2 to 16)
19 (15 to 24),19 (15 to 24)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 95),91 (88 to 95)
2 (1 to 4),2 (1 to 4)
21 (16 to 25),21 (16 to 25)
15 (11 to 18),15 (11 to 18)
11 (8 to 15),11 (8 to 15)
20 (13 to 26),20 (13 to 26)
14 (8 to 21),14 (8 to 21)
43 (36 to 49),43 (36 to 49)
-6 (-8 to -3),-6 (-8 to -3)
23 (16 to 29),23 (16 to 29)
28 (22 to 34),28 (22 to 34)
19 (16 to 21),19 (16 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -3),-6 (-8 to -3)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1238 (-1402 to -1085),-1235 (-1393 to -1088)
-825 (-877 to -786),-823 (-875 to -782)
-867 (-936 to -808),-865 (-936 to -807)
-829 (-885 to -787),-827 (-883 to -786)
413 (266 to 575),412 (266 to 572)
371 (228 to 525),370 (227 to 530)
409 (260 to 574),408 (260 to 569)
-42 (-92 to -1),-42 (-94 to 0)
-4 (-56 to 44),-4 (-54 to 43)
38 (-29 to 102),38 (-28 to 104)
-505 (-572 to -443),-505 (-570 to -445)
-337 (-358 to -321),-336 (-358 to -320)
-354 (-382 to -330),-354 (-383 to -330)
-338 (-361 to -321),-338 (-361 to -321)
168 (109 to 234),169 (109 to 234)
151 (93 to 214),151 (93 to 216)
167 (106 to 234),167 (106 to 233)
-17 (-37 to -1),-17 (-39 to 0)
-2 (-23 to 18),-2 (-22 to 17)
16 (-12 to 42),15 (-12 to 43)
33 (29 to 37),38 (33 to 43)
108 (104 to 112),125 (120 to 129)
85 (79 to 91),98 (91 to 105)
105 (100 to 109),120 (115 to 125)
75 (70 to 80),87 (81 to 93)
53 (46 to 59),60 (52 to 68)
72 (66 to 78),82 (75 to 89)
-23 (-29 to -17),-27 (-34 to -21)
-3 (-8 to 1),-5 (-11 to 0)
20 (13 to 26),22 (14 to 29)
18.25,21.11
14.17,16.26
17.67,20.13
53.99,63.59
74.29,112.93
51.73,57.88
44.73,51.64
34.74,39.78
43.31,49.23
132.36,155.55
182.12,276.23
126.81,141.59
