Cambodia,Cameroon,Côte d'Ivoire,Mozambique,Sierra Leone,Uganda,Zambia
15 (9 to 23),15 (9 to 23),15 (9 to 23),15 (9 to 23),15 (9 to 23),15 (9 to 23),15 (9 to 23)
62 (52 to 72),62 (52 to 72),62 (52 to 72),62 (52 to 72),62 (52 to 72),62 (52 to 72),62 (52 to 72)
43 (34 to 54),43 (34 to 54),43 (34 to 54),43 (34 to 54),43 (34 to 54),43 (34 to 54),43 (34 to 54)
35 (26 to 45),35 (26 to 45),35 (26 to 45),35 (26 to 45),35 (26 to 45),35 (26 to 45),35 (26 to 45)
13 (6 to 21),13 (6 to 21),13 (6 to 21),13 (6 to 21),13 (6 to 21),13 (6 to 21),13 (6 to 21)
55 (44 to 65),55 (44 to 65),55 (44 to 65),55 (44 to 65),55 (44 to 65),55 (44 to 65),55 (44 to 65)
31 (22 to 41),31 (22 to 41),31 (22 to 41),31 (22 to 41),31 (22 to 41),31 (22 to 41),31 (22 to 41)
23 (15 to 33),23 (15 to 33),23 (15 to 33),23 (15 to 33),23 (15 to 33),23 (15 to 33),23 (15 to 33)
74 (53 to 92),74 (53 to 92),74 (53 to 92),74 (53 to 92),74 (53 to 92),74 (53 to 92),74 (53 to 92)
7 (0 to 22),7 (0 to 22),7 (0 to 22),7 (0 to 22),7 (0 to 22),7 (0 to 22),7 (0 to 22)
6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20)
13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31)
47 (34 to 58),47 (34 to 58),47 (34 to 58),47 (34 to 58),47 (34 to 58),47 (34 to 58),47 (34 to 58)
28 (17 to 40),28 (17 to 40),28 (17 to 40),28 (17 to 40),28 (17 to 40),28 (17 to 40),28 (17 to 40)
20 (8 to 32),20 (8 to 32),20 (8 to 32),20 (8 to 32),20 (8 to 32),20 (8 to 32),20 (8 to 32)
-19 (-29 to -9),-19 (-29 to -9),-19 (-29 to -9),-19 (-29 to -9),-19 (-29 to -9),-19 (-29 to -9),-19 (-29 to -9)
-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17),-27 (-37 to -17)
-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3)
19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23),19 (15 to 23)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 13),12 (11 to 14)
13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15)
-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3)
-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-10 to -3),-7 (-11 to -3),-7 (-11 to -3),-7 (-11 to -3)
-6 (-10 to -2),-6 (-10 to -2),-6 (-10 to -2),-6 (-10 to -3),-6 (-10 to -2),-6 (-10 to -2),-6 (-10 to -2)
0 (-2 to 1),0 (-1 to 1),0 (-2 to 1),0 (-1 to 1),0 (-1 to 1),0 (-2 to 1),0 (-2 to 1)
1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2)
1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2)
460 (209 to 741),416 (186 to 684),403 (180 to 660),433 (194 to 700),395 (177 to 635),438 (195 to 721),437 (188 to 716)
468 (214 to 753),422 (183 to 678),410 (188 to 652),440 (201 to 679),401 (177 to 635),445 (194 to 716),444 (198 to 705)
419 (168 to 684),379 (155 to 626),368 (150 to 602),395 (166 to 641),360 (141 to 578),399 (156 to 660),399 (162 to 648)
8 (-82 to 105),6 (-73 to 92),7 (-67 to 94),7 (-78 to 96),6 (-69 to 90),7 (-73 to 102),7 (-76 to 106)
-41 (-167 to 68),-37 (-145 to 60),-35 (-141 to 54),-39 (-155 to 64),-36 (-139 to 55),-39 (-152 to 64),-38 (-157 to 64)
-49 (-134 to 0),-44 (-126 to 0),-42 (-122 to 0),-46 (-135 to 0),-41 (-123 to 0),-46 (-130 to 0),-46 (-136 to 0)
185 (84 to 297),173 (77 to 284),170 (76 to 279),178 (79 to 287),167 (75 to 268),179 (79 to 294),179 (77 to 293)
188 (86 to 302),176 (76 to 282),173 (80 to 276),180 (82 to 278),170 (75 to 268),182 (79 to 292),182 (81 to 288)
168 (67 to 275),157 (64 to 260),155 (64 to 254),162 (68 to 263),152 (60 to 244),163 (64 to 269),163 (66 to 265)
3 (-33 to 42),3 (-30 to 38),3 (-28 to 40),3 (-32 to 39),2 (-29 to 38),3 (-30 to 42),3 (-31 to 43)
-16 (-67 to 27),-16 (-60 to 25),-15 (-60 to 23),-16 (-64 to 26),-15 (-59 to 23),-16 (-62 to 26),-16 (-64 to 26)
-20 (-54 to 0),-18 (-53 to 0),-18 (-51 to 0),-19 (-55 to 0),-18 (-52 to 0),-19 (-53 to 0),-19 (-56 to 0)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),33 (26 to 39),38 (30 to 46)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),106 (97 to 115),122 (112 to 131)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),111 (103 to 118),128 (120 to 137)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),87 (75 to 98),100 (86 to 113)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),74 (63 to 84),84 (71 to 96)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),78 (69 to 88),90 (79 to 102)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),54 (41 to 67),62 (47 to 78)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),4 (-4 to 13),7 (-3 to 16)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),-19 (-31 to -8),-21 (-35 to -8)
0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),0 (0 to 0),-24 (-34 to -15),-28 (-40 to -18)
0,0,0,0,0,16.81,19.19
0,0,0,0,0,17.54,20.34
0,0,0,0,0,13.61,15.65
0,0,0,0,0,61.78,88.9
0,0,0,0,0,49.69,55.88
0,0,0,0,0,51.58,61.19
0,0,0,0,0,41.21,46.94
0,0,0,0,0,42.99,49.76
0,0,0,0,0,33.35,38.28
0,0,0,0,0,151.44,217.44
0,0,0,0,0,121.81,136.69
0,0,0,0,0,126.45,149.68
