,,Contact_TB,itb_fat_2,itb_fev_2,itb_cou_3,itb_app_2,temp_38,itb_wgt_3,tachycardia,tachypnea,ice_ind_bin.factor,ice_cra.factor,Dep_csc,ice_ade_bin.factor,cxr_pre_mil.factor,cxr_pre_alv.factor,cxr_pre_hil.factor,cxr_pre_exc.factor,cxr_pre_ple.factor,cxr_pre_eff.factor,cxr_pre_ple_per_eff.factor,aus_sma.factor,aus_hma.factor,aus_effusion,aus_asc.factor,hiv_res.factor,Xpert_res
Contact with adult TB case,Contact_TB,7,,,,,,,,,,,,,,,,,,,,,,,,,
Fatigue / Loss of playfulness >= 2 weeks,itb_fat_2,4,176,,,,,,,,,,,,,,,,,,,,,,,,
Fever >= 2 weeks,itb_fev_2,0,30,44,,,,,,,,,,,,,,,,,,,,,,,
Cough >= 3 weeks,itb_cou_3,1,28,11,38,,,,,,,,,,,,,,,,,,,,,,
Loss of appetite >= 2 weeks,itb_app_2,4,143,31,26,187,,,,,,,,,,,,,,,,,,,,,
Temperature > 38,temp_38,1,5,4,2,5,10,,,,,,,,,,,,,,,,,,,,
Weight loss >= 3 weeks,itb_wgt_3,3,121,34,30,132,5,227,,,,,,,,,,,,,,,,,,,
Tachycardia,tachycardia,2,22,6,0,20,3,20,38,,,,,,,,,,,,,,,,,,
Tachypnea,tachypnea,0,8,3,3,6,1,7,3,11,,,,,,,,,,,,,,,,,
Chest-in-drawing,ice_ind_bin.factor,0,8,4,2,12,1,16,2,2,23,,,,,,,,,,,,,,,,
Crackles on auscultation,ice_cra.factor,2,20,8,4,23,2,22,7,3,14,44,,,,,,,,,,,,,,,
Lack of consciousness,Dep_csc,1,106,19,22,104,3,117,18,7,16,19,207,,,,,,,,,,,,,,
Cervical or supra-clavicular adenopathy ,ice_ade_bin.factor,0,2,2,0,2,0,3,1,1,0,0,2,4,,,,,,,,,,,,,
CXR - Presence of miliary,cxr_pre_mil.factor,0,1,0,1,1,0,1,0,1,0,1,1,0,2,,,,,,,,,,,,
CXR - Presence of alveolar opacity,cxr_pre_alv.factor,0,37,14,11,36,3,44,11,7,6,13,45,2,0,89,,,,,,,,,,,
CXR - Presence of Hilar/mediastinal lymphadenopathy,cxr_pre_hil.factor,2,50,18,9,51,6,57,14,4,9,21,47,1,1,18,101,,,,,,,,,,
CXR - Presence of Excavation (cavity),cxr_pre_exc.factor,0,4,1,0,2,1,3,4,1,0,1,5,0,0,4,2,5,,,,,,,,,
CXR - Presence of Pleural effusion,cxr_pre_ple.factor,0,1,1,1,0,0,0,0,0,1,1,2,0,0,1,1,0,2,,,,,,,,
CXR - Presence of Pericardial effusion,cxr_pre_eff.factor,0,0,2,0,0,0,3,0,0,2,1,3,0,0,1,2,0,1,5,,,,,,,
CXR - Presence of Pleural/Pericardial effusion,cxr_pre_ple_per_eff.factor,0,1,2,1,0,0,3,0,0,2,1,4,0,0,2,2,0,2,5,6,,,,,,
AUS - Splenic micro-abscesses ,aus_sma.factor,0,5,2,1,4,0,9,0,0,0,1,6,0,0,2,3,0,0,1,1,10,,,,,
AUS - Hepatic micro-abscesses ,aus_hma.factor,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,,,,
AUS - Pleural effusion / Pericardial effusion,aus_effusion,0,15,3,5,14,2,23,4,5,3,2,22,0,1,14,7,1,0,3,3,1,0,49,,,
AUS - Peritoneal effusion (ascites),aus_asc.factor,0,6,3,2,5,1,10,2,1,0,1,15,0,0,7,6,0,0,2,2,1,0,13,32,,
Result of HIV testing ,hiv_res.factor,1,20,6,3,20,5,25,5,3,1,8,19,1,0,12,12,2,0,1,1,4,1,4,1,39,
Xpert result,Xpert_res,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
